#twotheta, yobs, ycal, bkg, diff
1.000000e+001,6.380000e+002,6.647063e+002,6.579526e+002,-2.670633e+001
1.002000e+001,6.220000e+002,6.650923e+002,6.583182e+002,-4.309225e+001
1.004000e+001,5.890000e+002,6.654782e+002,6.586837e+002,-7.647816e+001
1.006000e+001,5.980000e+002,6.658641e+002,6.590492e+002,-6.786406e+001
1.008000e+001,6.340000e+002,6.662499e+002,6.594145e+002,-3.224993e+001
1.010000e+001,6.660000e+002,6.666358e+002,6.597797e+002,-6.357986e-001
1.012000e+001,6.130000e+002,6.670216e+002,6.601447e+002,-5.402165e+001
1.014000e+001,6.270000e+002,6.674075e+002,6.605097e+002,-4.040749e+001
1.016000e+001,6.040000e+002,6.677933e+002,6.608746e+002,-6.379331e+001
1.018000e+001,6.530000e+002,6.681791e+002,6.612394e+002,-1.517912e+001
1.020000e+001,6.140000e+002,6.685649e+002,6.616040e+002,-5.456492e+001
1.022000e+001,6.240000e+002,6.689507e+002,6.619686e+002,-4.495071e+001
1.024000e+001,6.160000e+002,6.693365e+002,6.623330e+002,-5.333649e+001
1.026000e+001,6.500000e+002,6.697223e+002,6.626974e+002,-1.972226e+001
1.028000e+001,6.110000e+002,6.701080e+002,6.630616e+002,-5.910802e+001
1.030000e+001,5.980000e+002,6.704938e+002,6.634257e+002,-7.249377e+001
1.032000e+001,6.540000e+002,6.708795e+002,6.637898e+002,-1.687951e+001
1.034000e+001,6.600000e+002,6.712652e+002,6.641537e+002,-1.126525e+001
1.036000e+001,6.120000e+002,6.716510e+002,6.645175e+002,-5.965098e+001
1.038000e+001,6.110000e+002,6.720367e+002,6.648812e+002,-6.103670e+001
1.040000e+001,6.170000e+002,6.724224e+002,6.652448e+002,-5.542242e+001
1.042000e+001,6.520000e+002,6.728081e+002,6.656082e+002,-2.080813e+001
1.044000e+001,6.610000e+002,6.731938e+002,6.659716e+002,-1.219384e+001
1.046000e+001,6.300000e+002,6.735795e+002,6.663349e+002,-4.357954e+001
1.048000e+001,6.410000e+002,6.739652e+002,6.666980e+002,-3.296524e+001
1.050000e+001,6.130000e+002,6.743509e+002,6.670611e+002,-6.135094e+001
1.052000e+001,6.460000e+002,6.747366e+002,6.674240e+002,-2.873663e+001
1.054000e+001,6.320000e+002,6.751223e+002,6.677869e+002,-4.312233e+001
1.056000e+001,6.420000e+002,6.755080e+002,6.681496e+002,-3.350802e+001
1.058000e+001,6.460000e+002,6.758937e+002,6.685122e+002,-2.989371e+001
1.060000e+001,6.520000e+002,6.762794e+002,6.688748e+002,-2.427941e+001
1.062000e+001,6.610000e+002,6.766651e+002,6.692372e+002,-1.566511e+001
1.064000e+001,6.530000e+002,6.770508e+002,6.695995e+002,-2.405080e+001
1.066000e+001,6.690000e+002,6.774365e+002,6.699617e+002,-8.436506e+000
1.068000e+001,6.260000e+002,6.778222e+002,6.703237e+002,-5.182221e+001
1.070000e+001,6.740000e+002,6.782079e+002,6.706857e+002,-4.207919e+000
1.072000e+001,6.440000e+002,6.785936e+002,6.710476e+002,-3.459363e+001
